M4B113_C16,COLD1,qSCT1,qCST10,qPSST6,Dro1,qDTY1.1,qDTY12.1,qDTY2.1,qDTY2.2,qDTY3.1,qDTY3.2,qDTY4.1,TT1,qHTSF4.1,qSIS1L,Saltol,qSOR1,qSub1,qAG3,Pita,qPi33,qXa26,qXa4,BPH17,BPH32,TSV1,STV11,fgr-1,Chalk5,Alk,GS3,NAS3,Hd1,DTH8,Ghd7,Hd2,RFT1,Hd3a,ehd1,GNP1,Gn1a,GFR1,HIS1,TGW6,NGR5,NAL1,SLG7
965,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],?,[--],[--],[--],[--],[--],[--],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[--],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
1133,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],[--],[--],[--],[--],[Het],[+p],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
182,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[+p],[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[--]-IR24,[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
640,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],[--],[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
1089,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[+p],[--],[--],?,[--],[--],[--],[+p],[--],[--],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[--],[+p],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
631,[--],[+p],[--],[--],[+p],[--],[+p],,?,[--],[--]-Swarna,[--],[--],,[--],?,[--],[--],[Het],[--],[--],[+p],[+p],[--],[--],[--],[+p],[Het],[+p],[+p]-Alk-3b,?,[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--] Het ind1/2,,[+p]-indica,[+p],[--],[Het] - [- haplotypes],[Het],[--]-indica
503,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),?,[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
697,[--],?,[--],[--],[+p],?,[Het]/[Het],,?,[--],[--]-Swarna,?,[--],,?,[--],[--],[--],[+p],[+p],[--],[+p],[Het],[--],?,[--],[+p],?,[--],[--],[--]-Medium,[--],?,[+p],?,[+p]-1c,[--] Culture340,[+p] Culture340,[+p],[--]-ind1,,[+p]-indica,[--],[--],[+p] Hap.2,[--],[--]-indica
1031,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],[--],[--],[--],[--],[Het],[+p],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
975,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[Het],?,[+p],?,[--],[--],[--],[+p],[Het],[+p],[+p]-Alk-3b,?,[--],[+p] IRRI154 deletion,[+p],[Het]-4/2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[+p] Hap.2,[--],[--]-indica
732,[--],[+p],[--],[--],[+p],[--],[--],,?,[--],[+p]-IR64 (intermediate),[--],[--],,[--],[--],[--],[--],[+p],[+p],[+p],[+p],[+p],[+p],[--],[--],[--],[--],[--],[--],[+p],[--],[+p] IRRI154 deletion,[--]-IR24,[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[--]-indica,[--],[--],[--] Hap.3,[--],[--]-indica
688,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] N22 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
352,[--],[+p],[--],[--],[+p],[--],[+p],,?,[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aro,[--],[+p],[+p],[--],?,[+p],[+p],[+p],[+p],[--],[+p],[--],[+p],[--],[--]-Medium,[--],[+p] IRRI154 deletion,[--]-IR24,[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[--]-indica,[+p],[--],[--] Hap.3,[--],[--]-indica
337,[--],[+p],[--],[--],[+p],[--],[--],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[--],[--],[--],[+p],[+p],[+p],[+p],[+p],[--],[+p],[--],[+p],[--],[+p],[--],[+p],[--],[+p] N22 deletion,[--]-IR24,[--]-Ghd7-2,[--]-IR/[+p]-1b,[+p],[--],[+p],[--]-ind1,,[--]-indica,[+p],[--],[--] Hap.3,[--],[--]-indica
909,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[+p],[+p],?,[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[+p],[+p] IRRI154 deletion,[--]-IR24,[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
819,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],?,[--],[--],[--],[+p],[--],[--],[+p]-Alk-3b,[--]-Medium,[+p],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[--],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
125,?,[+p],[--],[--],[+p],[--],[Het]/[Het],,[--],?,?,?,?,,[--],[--],[--],[--],[+p],[Het],?,[+p],?,?,[Het],[--],[+p],?,[+p],[+p]-Alk-3b,?,[--],?,[--]-IR24,?,?,[+p],?,[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[Het]-PB1/ind
692,[--],[+p],[--],?,[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],?,[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
176,[--],[+p],[--],[--],[+p],[--],[--],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[Het],?,[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[--],[--],[--] Hap.3,[--],[--]-indica
281,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
275,[--],[+p],[--],[--],[+p],?,[+p],,?,[--],?,[--],[--],,[--],?,[--],[--],[+p],[Het],?,[+p],[+p],[--],[Het],[--],[+p],[+p],[Het],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[Het],[--]-Ghd7-2,[+p]-1c,[Het] ind2/[--],[+p],[+p],[Het],,[+p]-indica,[+p],[--],?,[Het],[+p]-PB1
1032,[--],[+p],[--],[--],[+p],[--],[+p],,?,?,[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aro,[--],?,[+p],[--],[Het],[+p],[+p],?,[Het],[--],[+p],[--],[+p],[--],[--]-Medium,[--],[+p] Het  IRRI154/N22,[--]-IR24,[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],?,,[+p]-indica,[+p],[--],[--] Hap.3,[--],[--]-indica
270,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],?,[--],[--],,[--],?,[--],[--],[+p],[Het],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],?,[+p]-1c,[+p],[--],[+p],[Het],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
1008,[--],[+p],[--],[--],[+p],[--],[+p],,?,[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aro,[--],[+p],[+p],[+p],[Het],[+p],[+p],[+p],[Het],[--],[+p],[--],[+p],[--],[--]-Medium,[--],[+p] Het  IRRI154/N22,[--]-IR24,[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[Het]-[indica +/-],[+p],[--],[--] Hap.3,[--],[--]-indica
147,[--],[+p],[--],[--],[+p],[--],[--],,?,[--],[+p]-IR64 (intermediate),?,[--],,[--],[Het],[--],?,[+p],[+p],?,[+p],[+p],[Het],[+p],[Het],[+p],[--],[Het],[--],[Het]-[+/Bold],[--],[+p] Het  IRRI154/N22,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[Het] [+ Culture340/--],[+p],[--] Het ind1/2,,[Het]-[indica +/-],[+p],[Het],[--] Hap.3,[--],[--]-indica
1011,[--],[+p],[--],[--],[+p],[--],[--],,[--],?,[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[--],?,[+p],?,[--],[--],[--],[+p],[+p],[--],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[--],[+p],[+p],[--]-ind2,,[+p]-indica,[+p],[--],[+p] Hap.2,?,[--]-indica
304,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
127,[--],[+p],[--],[--],[+p],[--],[--],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[+p],?,[--],?,[Het],[+p],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[--],[--],[--] Hap.3,[--],[--]-indica
39,[--],[+p],[--],[--],[+p],[--],[--],,?,[--],?,?,[--],,[--],?,[--],[--],[+p],[Het],?,[+p],[+p],?,[+p],[+p]-TKM6/[+p]-AdaySel,[+p],[--],[+p],?,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[+p],[Het] - [- haplotypes],[--],[--]-indica
321,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
268,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
1041,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],[--],[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
277,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
354,[--],[+p],[--],[--],[+p],[--],[--],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[--],[--],[--],[+p],[+p],[+p],[+p],[+p],[--],[+p],[--],[+p],[--],[+p],[--],[+p],[--],[+p] N22 deletion,[--]-IR24,[--]-Ghd7-2,[--]-IR/[+p]-1b,[+p],[--],[+p],[--]-ind1,,[--]-indica,[+p],[--],[--] Hap.3,[--],[--]-indica
393,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],?,[--],?,[--],[--],[+p],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],?,[+p]-1c,[+p],[--],[+p],?,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
883,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],[+p],[--],[--],[--],[+p],[--],[--],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
267,[--],[+p],[--],[--],[+p],[--],[--],,?,[+p],[+p]-IR64 (intermediate),[--],[--],,[--],[--],[--],[--],[+p],[+p],[+p],[+p],[+p],[+p],[+p],[--],[+p],[--],[+p],[--],[+p],[--],[+p] N22 deletion,[--]-IR24,[--]-Ghd7-2,[--]-IR/[+p]-1b,[+p],[--],[+p],[--]-ind1,,[--]-indica,[+p],[--],[--] Hap.3,[--],[--]-indica
276,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
255,[--],[+p],[--],[--],[+p],[--],[+p],,?,[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[--],[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],?,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
282,[--],[+p],[--],[--],[+p],[--],[Het]/[Het],,?,[--],[+p]-IR64 (intermediate),?,[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[Het],[+p],[Het],[+p],[Het],[+p],?,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[Het],,[+p]-indica,[+p],[Het],[Het] - [- haplotypes],[--],[--]-indica
1140,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],?,[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
130,[--],[+p],[--],[--],[+p],[--],[--],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[+p],[+p],[+p],?,[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[--]-IR24,[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
968,[--],[+p],[--],[--],[+p],?,[Het]/[Het],,[--],[--],[--]-Swarna,[--],[--],,?,[+p]-Aro,[--],[--],[+p],[--],[Het],[+p],?,[--],[--],[--],[+p],[--],[Het],?,?,[--],[Het] IRRI154/[--],[Het],?,[+p]-1c,[Het] ind2/[--],[Het] [+ type 1/--],[+p],[--] Het ind1/2,,[+p]-indica,[Het],[+p],?,[--],[--]-indica
243,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
856,[--],[+p],[--],?,[+p],?,[Het]/[Het],,?,[--],?,[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[Het],?,[+p],?,?,[Het],[--],[Het],[Het],[+p],?,[+p],[--],[+p] IRRI154 deletion,[Het],?,?,[Het] ind2/[--],[Het] [+ type 1/--],[+p],[--] Het ind1/2,,[Het]-[indica +/-],[Het],[Het],[Het] - [+/- Hap.2/3],[Het],[--]-indica
674,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],[--],[--],[--],[--],[--],[+p],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],?,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
214,[--],[+p],[--],[--],[+p],[--],[+p],,?,[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[Het],?,[+p],?,[--],[Het],[--],[+p],[Het],[+p],?,[+p],[--],[+p] IRRI154 deletion,[+p],?,[+p]-1c,[+p],[--],[+p],[Het],,[+p]-indica,[+p],[--],[Het] - [+/- Hap.2/3],[--],[--]-indica
453,[--],[+p],[--],[--],[+p],[--],[--],,?,[--],[+p]-IR64 (intermediate),?,[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[+p],[+p],[--],[+p],[--],[+p],[--],[+p],[--],[+p] Het  IRRI154/N22,[+p],?,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.3,[--],[--]-indica
950,[--],[+p],[--],[--],[+p],?,[Het]/[Het],,?,[--],[--]-Swarna,[--],[--],,?,?,[--],[--],[+p],[--],[Het],[+p],[Het],[--],[--],[--],[+p],[--],[Het],?,?,[--],[Het] IRRI154/[--],[Het],?,[+p]-1c,[Het] ind2/[--],[Het] [+ type 1/--],[+p],[--] Het ind1/2,,[+p]-indica,[Het],[Het],?,[--],[--]-indica
927,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[+p] Hap.2,[--],[--]-indica
